,created_at, Monitor ID, Location ID, SO2(ppm),NO2,O3,CO,SO2,Temperature,RH,Pressure
207,2021-10-23 15:11:00,1,1,0.1,0.0,0.0,12.316,56.316,35.133,29.809,951.796
208,2021-10-23 15:12:00,1,1,0.1,0.0,0.0,12.222,57.222,35.284,29.683,951.768
209,2021-10-23 15:13:00,1,1,0.1,0.0,0.0,15.368,62.789,35.261,29.732,951.573
210,2021-10-23 15:14:00,1,1,0.0,0.0,0.0,15.105,59.737,35.186,30.491,951.339
211,2021-10-23 15:15:00,1,1,0.0,0.0,0.0,13.167,54.778,34.903,30.295,950.965
212,2021-10-23 15:16:00,1,1,0.1,0.0,0.0,11.667,51.444,34.868,30.044,950.458
213,2021-10-23 15:17:00,1,1,0.1,0.0,0.0,10.105,47.684,34.828,29.953,950.315
214,2021-10-23 15:18:00,1,1,0.1,0.0,0.0,11.526,53.211,34.774,30.254,950.307
215,2021-10-23 15:19:00,1,1,0.1,0.0,0.0,16.611,63.167,34.718,30.478,950.292
216,2021-10-23 15:20:00,1,1,0.1,0.0,0.0,14.444,56.5,34.622,30.635,950.321
217,2021-10-23 15:21:00,1,1,0.1,0.0,0.0,10.778,48.333,34.547,30.65,950.292
218,2021-10-23 15:22:00,1,1,0.1,0.0,0.0,9.0,44.389,34.322,30.484,950.276
219,2021-10-23 15:23:00,1,1,0.1,0.0,0.0,8.111,40.444,34.223,30.456,950.264
220,2021-10-23 15:24:00,1,1,0.1,0.0,0.0,7.611,39.167,34.019,30.914,950.242
221,2021-10-23 15:25:00,1,1,0.0,0.0,0.0,7.333,40.889,33.737,31.449,950.223
222,2021-10-23 15:26:00,1,1,0.0,0.0,0.0,8.222,41.389,33.654,31.6,950.228
223,2021-10-23 15:27:00,1,1,0.1,0.0,0.0,8.167,41.611,33.632,31.715,950.212
224,2021-10-23 15:28:00,1,1,0.1,0.0,0.0,8.222,41.056,33.537,32.01,950.21
