Epoch date,GMT,NO2_ppb_megasense
1624412058,23-06-2021 01:34,2564
1624412396,23-06-2021 01:39,2578
1624412751,23-06-2021 01:45,2567
1624413136,23-06-2021 01:52,2546
1624413514,23-06-2021 01:58,2564
1624413902,23-06-2021 02:05,2567
1624414468,23-06-2021 02:14,2575
1624415134,23-06-2021 02:25,2610
1624415749,23-06-2021 02:35,2617
1624416129,23-06-2021 02:42,2607
1624416507,23-06-2021 02:48,2607
1624416931,23-06-2021 02:55,2614
1624417299,23-06-2021 03:01,2592
1624417664,23-06-2021 03:07,2614
1624418156,23-06-2021 03:15,2614
1624418651,23-06-2021 03:24,2621
1624419254,23-06-2021 03:34,2614
1624419672,23-06-2021 03:41,2617
1624419678,23-06-2021 03:41,2617
1624420005,23-06-2021 03:46,2607
1624420365,23-06-2021 03:52,2560
1624420369,23-06-2021 03:52,2560
1624420720,23-06-2021 03:58,2525
1624420723,23-06-2021 03:58,2525
1624421051,23-06-2021 04:04,2500
1624421057,23-06-2021 04:04,2500
1624421464,23-06-2021 04:11,2428
1624422177,23-06-2021 04:22,2221
1624422670,23-06-2021 04:31,2082
1624422677,23-06-2021 04:31,2082
1624423144,23-06-2021 04:39,1964
1624423147,23-06-2021 04:39,1964
1624423880,23-06-2021 04:51,1885
1624424046,23-06-2021 04:54,1867
1624424471,23-06-2021 05:01,1792
1624424958,23-06-2021 05:09,1682
1624424961,23-06-2021 05:09,1682
1624425342,23-06-2021 05:15,1596
1624425347,23-06-2021 05:15,1596
1624425524,23-06-2021 05:18,1571
1624425526,23-06-2021 05:18,1571
1624425735,23-06-2021 05:22,1482
1624425738,23-06-2021 05:22,1482
1624426160,23-06-2021 05:29,1421
1624426165,23-06-2021 05:29,1421
1624435621,23-06-2021 08:07,3996
1624435653,23-06-2021 08:07,2903
1624435684,23-06-2021 08:08,2432
1624435715,23-06-2021 08:08,2350
1624435746,23-06-2021 08:09,2328
1624435777,23-06-2021 08:09,2328
1624435808,23-06-2021 08:10,2307
1624435839,23-06-2021 08:10,2300
1624435870,23-06-2021 08:11,2310
1624435901,23-06-2021 08:11,2310
1624435932,23-06-2021 08:12,2303
1624435963,23-06-2021 08:12,2332
1624435994,23-06-2021 08:13,2307
1624436025,23-06-2021 08:13,2328
1624436056,23-06-2021 08:14,2321
1624436321,23-06-2021 08:18,2367
1624436584,23-06-2021 08:23,2403
1624437008,23-06-2021 08:30,2457
1624437159,23-06-2021 08:32,2460
1624437228,23-06-2021 08:33,2471
1624437335,23-06-2021 08:35,2507
1624437645,23-06-2021 08:40,2532
1624438065,23-06-2021 08:47,2582
1624438367,23-06-2021 08:52,2603
1624438701,23-06-2021 08:58,2617
1624439128,23-06-2021 09:05,2639
1624439390,23-06-2021 09:09,2646
1624439789,23-06-2021 09:16,2667
1624440152,23-06-2021 09:22,2707
1624440296,23-06-2021 09:24,2621
1624440332,23-06-2021 09:25,2592
1624440796,23-06-2021 09:33,2446
1624441218,23-06-2021 09:40,2378
1624441731,23-06-2021 09:48,2342
1624442019,23-06-2021 09:53,2296
1624442693,23-06-2021 10:04,2289
1624443083,23-06-2021 10:11,2264
1624443852,23-06-2021 10:24,2235
1624444025,23-06-2021 10:27,2235
1624444281,23-06-2021 10:31,2200
1624444706,23-06-2021 10:38,2171
1624445213,23-06-2021 10:46,2135
1624445695,23-06-2021 10:54,2157
1624446668,23-06-2021 11:11,2064
1624447126,23-06-2021 11:18,2042
1624447513,23-06-2021 11:25,2142
1624447969,23-06-2021 11:32,2100
1624448421,23-06-2021 11:40,2046
1624448827,23-06-2021 11:47,2064
1624449183,23-06-2021 11:53,2117
1624449809,23-06-2021 12:03,2167
1624450076,23-06-2021 12:07,2175
1624450732,23-06-2021 12:18,2221
1624451161,23-06-2021 12:26,2228
1624451521,23-06-2021 12:32,2257
1624451922,23-06-2021 12:38,2264
1624452321,23-06-2021 12:45,2275
1624452765,23-06-2021 12:52,2289
1624453304,23-06-2021 13:01,2300
1624453748,23-06-2021 13:09,2317
1624453785,23-06-2021 13:09,2310
1624454096,23-06-2021 13:14,2325
1624454499,23-06-2021 13:21,2342
1624454864,23-06-2021 13:27,2342
1624455282,23-06-2021 13:34,2367
1624455642,23-06-2021 13:40,2378
1624456110,23-06-2021 13:48,2375
1624456785,23-06-2021 13:59,2389
1624457492,23-06-2021 14:11,2421
1624457857,23-06-2021 14:17,2417
1624458316,23-06-2021 14:25,2425
1624458748,23-06-2021 14:32,2421
1624459144,23-06-2021 14:39,2421
1624459638,23-06-2021 14:47,2442
1624460183,23-06-2021 14:56,2435
1624460586,23-06-2021 15:03,2450
1624460987,23-06-2021 15:09,2460
1624461356,23-06-2021 15:15,2457
1624461739,23-06-2021 15:22,2467
1624462296,23-06-2021 15:31,2467
1624462965,23-06-2021 15:42,2464
1624463463,23-06-2021 15:51,2471
1624463943,23-06-2021 15:59,2467
1624464353,23-06-2021 16:05,2475
1624464714,23-06-2021 16:11,2475
1624465144,23-06-2021 16:19,2471
1624465481,23-06-2021 16:24,2475
1624465999,23-06-2021 16:33,2471
1624466397,23-06-2021 16:39,2482
1624466822,23-06-2021 16:47,2471
1624467252,23-06-2021 16:54,2482
1624467639,23-06-2021 17:00,2503
1624467808,23-06-2021 17:03,2485
1624468013,23-06-2021 17:06,2478
1624468394,23-06-2021 17:13,2482
1624468802,23-06-2021 17:20,2500
1624469210,23-06-2021 17:26,2485
1624469581,23-06-2021 17:33,2496
1624470186,23-06-2021 17:43,2489
1624470585,23-06-2021 17:49,2514
1624470992,23-06-2021 17:56,2500
1624471311,23-06-2021 18:01,2489
1624471314,23-06-2021 18:01,2492
1624471646,23-06-2021 18:07,2500
1624471993,23-06-2021 18:13,2492
1624472429,23-06-2021 18:20,2500
1624472885,23-06-2021 18:28,2500
1624472893,23-06-2021 18:28,2500
1624473256,23-06-2021 18:34,2517
1624473259,23-06-2021 18:34,2517
1624473585,23-06-2021 18:39,2507
1624473588,23-06-2021 18:39,2507
1624473978,23-06-2021 18:46,2492
1624474358,23-06-2021 18:52,2514
1624474937,23-06-2021 19:02,2525
1624475429,23-06-2021 19:10,2507
1624475960,23-06-2021 19:19,2510
1624477146,23-06-2021 19:39,2525
1624477740,23-06-2021 19:49,2517
1624477746,23-06-2021 19:49,2517
1624478300,23-06-2021 19:58,2521
1624478306,23-06-2021 19:58,2521
1624478957,23-06-2021 20:09,2510
1624478964,23-06-2021 20:09,2510
1624479518,23-06-2021 20:18,2528
1624479522,23-06-2021 20:18,2528
1624480006,23-06-2021 20:26,2514
1624480008,23-06-2021 20:26,2514
1624480540,23-06-2021 20:35,2517
1624481024,23-06-2021 20:43,2525
1624481027,23-06-2021 20:43,2525
1624481623,23-06-2021 20:53,2525
1624481628,23-06-2021 20:53,2525
1624481990,23-06-2021 20:59,2517
1624481996,23-06-2021 20:59,2517
1624482386,23-06-2021 21:06,2525
1624482389,23-06-2021 21:06,2528
1624482762,23-06-2021 21:12,2525
1624482768,23-06-2021 21:12,2525
